symbol,source_used,bars_count,start_date,end_date,error,validated,mismatch_flagged,rejected,mismatch_pct
PFE,polygon,2533,2015-12-07,2026-01-02,,False,,,
SPOT,polygon,1950,2018-04-03,2026-01-02,,False,,,
SQQQ,polygon,2533,2015-12-07,2026-01-02,,False,,,
CVX,polygon,2533,2015-12-07,2026-01-02,,False,,,
ABBV,polygon,2533,2015-12-07,2026-01-02,,False,,,
CSCO,polygon,2533,2015-12-07,2026-01-02,,False,,,
MRK,polygon,2533,2015-12-07,2026-01-02,,False,,,
XLE,polygon,2533,2015-12-07,2026-01-02,,False,,,
AMAT,polygon,2533,2015-12-07,2026-01-02,,False,,,
JNJ,polygon,2533,2015-12-07,2026-01-02,,False,,,
EEM,polygon,2533,2015-12-07,2026-01-02,,False,,,
DIS,polygon,2533,2015-12-07,2026-01-02,,False,,,
TXN,polygon,2533,2015-12-07,2026-01-02,,False,,,
MARA,polygon,2533,2015-12-07,2026-01-02,,False,,,
SNOW,polygon,1331,2020-09-16,2026-01-02,,False,,,
MCD,polygon,2533,2015-12-07,2026-01-02,,False,,,
KO,polygon,2533,2015-12-07,2026-01-02,,False,,,
PDD,polygon,1870,2018-07-26,2026-01-02,,False,,,
HON,polygon,2533,2015-12-07,2026-01-02,,False,,,
XLI,polygon,2533,2015-12-07,2026-01-02,,False,,,
XLV,polygon,2533,2015-12-07,2026-01-02,,False,,,
INTU,polygon,2533,2015-12-07,2026-01-02,,False,,,
C,polygon,2533,2015-12-07,2026-01-02,,False,,,
XLK,polygon,2533,2015-12-07,2026-01-02,,False,,,
IBM,polygon,2533,2015-12-07,2026-01-02,,False,,,
TMO,polygon,2533,2015-12-07,2026-01-02,,False,,,
PANW,polygon,2533,2015-12-07,2026-01-02,,False,,,
PEP,polygon,2533,2015-12-07,2026-01-02,,False,,,
APO,polygon,2533,2015-12-07,2026-01-02,,False,,,
VST,polygon,2324,2016-10-05,2026-01-02,,False,,,
LRCX,polygon,2533,2015-12-07,2026-01-02,,False,,,
DELL,polygon,2358,2016-08-17,2026-01-02,,False,,,
AGG,polygon,2533,2015-12-07,2026-01-02,,False,,,
WDAY,polygon,2533,2015-12-07,2026-01-02,,False,,,
KRE,polygon,2533,2015-12-07,2026-01-02,,True,False,False,0.0
ACN,polygon,2533,2015-12-07,2026-01-02,,False,,,
AMGN,polygon,2533,2015-12-07,2026-01-02,,False,,,
TGT,polygon,2533,2015-12-07,2026-01-02,,False,,,
ANET,polygon,2533,2015-12-07,2026-01-02,,False,,,
LIN,polygon,2533,2015-12-07,2026-01-02,,False,,,
MS,polygon,2533,2015-12-07,2026-01-02,,False,,,
NKE,polygon,2533,2015-12-07,2026-01-02,,True,False,False,0.0
SHOP,polygon,2533,2015-12-07,2026-01-02,,False,,,
GE,polygon,2533,2015-12-07,2026-01-02,,False,,,
TMUS,polygon,2533,2015-12-07,2026-01-02,,False,,,
LULU,polygon,2533,2015-12-07,2026-01-02,,False,,,
PYPL,polygon,2533,2015-12-07,2026-01-02,,False,,,
AXP,polygon,2533,2015-12-07,2026-01-02,,False,,,
T,polygon,2533,2015-12-07,2026-01-02,,True,False,False,0.0
XLU,polygon,2533,2015-12-07,2026-01-02,,False,,,
XBI,polygon,2533,2015-12-07,2026-01-02,,False,,,
CAT,polygon,2533,2015-12-07,2026-01-02,,False,,,
NEE,polygon,2533,2015-12-07,2026-01-02,,False,,,
QUBT,polygon,2533,2015-12-07,2026-01-02,,False,,,
KLAC,polygon,2533,2015-12-07,2026-01-02,,False,,,
SBUX,polygon,2533,2015-12-07,2026-01-02,,False,,,
ISRG,polygon,2533,2015-12-07,2026-01-02,,False,,,
CMCSA,polygon,2533,2015-12-07,2026-01-02,,False,,,
XLP,polygon,2533,2015-12-07,2026-01-02,,False,,,
VZ,polygon,2533,2015-12-07,2026-01-02,,True,False,False,0.0
DHR,polygon,2533,2015-12-07,2026-01-02,,False,,,
GDX,polygon,2533,2015-12-07,2026-01-02,,False,,,
XLY,polygon,2533,2015-12-07,2026-01-02,,False,,,
DDOG,polygon,1581,2019-09-19,2026-01-02,,False,,,
GM,polygon,2533,2015-12-07,2026-01-02,,False,,,
COP,polygon,2533,2015-12-07,2026-01-02,,False,,,
UAL,polygon,2533,2015-12-07,2026-01-02,,False,,,
SHW,polygon,2533,2015-12-07,2026-01-02,,False,,,
ADI,polygon,2533,2015-12-07,2026-01-02,,False,,,
TJX,polygon,2533,2015-12-07,2026-01-02,,False,,,
PM,polygon,2533,2015-12-07,2026-01-02,,False,,,
ETN,polygon,2533,2015-12-07,2026-01-02,,False,,,
CVS,polygon,2533,2015-12-07,2026-01-02,,False,,,
GILD,polygon,2533,2015-12-07,2026-01-02,,False,,,
BMY,polygon,2533,2015-12-07,2026-01-02,,False,,,
SPGI,polygon,2533,2015-12-07,2026-01-02,,False,,,
ABNB,polygon,1271,2020-12-10,2026-01-02,,False,,,
SCHW,polygon,2533,2015-12-07,2026-01-02,,False,,,
CVNA,polygon,2183,2017-04-28,2026-01-02,,False,,,
CCL,polygon,2533,2015-12-07,2026-01-02,,False,,,
REGN,polygon,2533,2015-12-07,2026-01-02,,False,,,
UNP,polygon,2533,2015-12-07,2026-01-02,,False,,,
LOW,polygon,2533,2015-12-07,2026-01-02,,False,,,
BX,polygon,2533,2015-12-07,2026-01-02,,False,,,
VRTX,polygon,2533,2015-12-07,2026-01-02,,False,,,
ABT,polygon,2533,2015-12-07,2026-01-02,,False,,,
PGR,polygon,2533,2015-12-07,2026-01-02,,False,,,
MPWR,polygon,2533,2015-12-07,2026-01-02,,True,False,False,0.0
LMT,polygon,2533,2015-12-07,2026-01-02,,False,,,
CDNS,polygon,2533,2015-12-07,2026-01-02,,False,,,
OXY,polygon,2533,2015-12-07,2026-01-02,,False,,,
CI,polygon,2533,2015-12-07,2026-01-02,,False,,,
SLV,polygon,2533,2015-12-07,2026-01-02,,False,,,
HUM,polygon,2533,2015-12-07,2026-01-02,,False,,,
RKLB,polygon,1282,2020-11-24,2026-01-02,,False,,,
F,polygon,2533,2015-12-07,2026-01-02,,False,,,
AXON,polygon,2533,2015-12-07,2026-01-02,,False,,,
CMG,polygon,2533,2015-12-07,2026-01-02,,False,,,
TEAM,polygon,2531,2015-12-09,2026-01-02,,False,,,
RTX,polygon,2533,2015-12-07,2026-01-02,,False,,,
SPXL,polygon,2533,2015-12-07,2026-01-02,,False,,,
TNA,polygon,2533,2015-12-07,2026-01-02,,False,,,
BSX,polygon,2533,2015-12-07,2026-01-02,,False,,,
COF,polygon,2533,2015-12-07,2026-01-02,,False,,,
SNPS,polygon,2533,2015-12-07,2026-01-02,,False,,,
UPS,polygon,2533,2015-12-07,2026-01-02,,False,,,
DE,polygon,2533,2015-12-07,2026-01-02,,False,,,
DASH,polygon,1272,2020-12-09,2026-01-02,,False,,,
FSLR,polygon,2533,2015-12-07,2026-01-02,,False,,,
ADP,polygon,2533,2015-12-07,2026-01-02,,False,,,
AAL,polygon,2533,2015-12-07,2026-01-02,,False,,,
IYR,polygon,2533,2015-12-07,2026-01-02,,False,,,
EWZ,polygon,2533,2015-12-07,2026-01-02,,False,,,
NXPI,polygon,2533,2015-12-07,2026-01-02,,False,,,
DAL,polygon,2533,2015-12-07,2026-01-02,,False,,,
UPST,polygon,1267,2020-12-16,2026-01-02,,False,,,
MCK,polygon,2533,2015-12-07,2026-01-02,,False,,,
ARKK,polygon,2533,2015-12-07,2026-01-02,,False,,,
KKR,polygon,2533,2015-12-07,2026-01-02,,False,,,
MDT,polygon,2533,2015-12-07,2026-01-02,,False,,,
AJG,polygon,2533,2015-12-07,2026-01-02,,False,,,
MDLZ,polygon,2533,2015-12-07,2026-01-02,,False,,,
APH,polygon,2533,2015-12-07,2026-01-02,,False,,,
EQIX,polygon,2533,2015-12-07,2026-01-02,,False,,,
FDX,polygon,2533,2015-12-07,2026-01-02,,False,,,
CME,polygon,2533,2015-12-07,2026-01-02,,False,,,
MDB,polygon,2062,2017-10-19,2026-01-02,,False,,,
ULTA,polygon,2533,2015-12-07,2026-01-02,,False,,,
JD,polygon,2533,2015-12-07,2026-01-02,,False,,,
SLB,polygon,2533,2015-12-07,2026-01-02,,False,,,
ICE,polygon,2533,2015-12-07,2026-01-02,,False,,,
RCL,polygon,2533,2015-12-07,2026-01-02,,False,,,
SYK,polygon,2533,2015-12-07,2026-01-02,,False,,,
AMT,polygon,2533,2015-12-07,2026-01-02,,False,,,
HCA,polygon,2533,2015-12-07,2026-01-02,,False,,,
HIMS,polygon,1585,2019-09-13,2026-01-02,,False,,,
FTNT,polygon,2533,2015-12-07,2026-01-02,,False,,,
MMM,polygon,2533,2015-12-07,2026-01-02,,False,,,
TTD,polygon,2334,2016-09-21,2026-01-02,,False,,,
ADSK,polygon,2533,2015-12-07,2026-01-02,,False,,,
TT,polygon,2533,2015-12-07,2026-01-02,,False,,,
MCHP,polygon,2533,2015-12-07,2026-01-02,,False,,,
PLD,polygon,2533,2015-12-07,2026-01-02,,False,,,
FCX,polygon,2533,2015-12-07,2026-01-02,,False,,,
CL,polygon,2533,2015-12-07,2026-01-02,,False,,,
ROST,polygon,2533,2015-12-07,2026-01-02,,False,,,
ON,polygon,2533,2015-12-07,2026-01-02,,False,,,
CB,polygon,2533,2015-12-07,2026-01-02,,False,,,
MO,polygon,2533,2015-12-07,2026-01-02,,False,,,
APD,polygon,2533,2015-12-07,2026-01-02,,False,,,
CHTR,polygon,2533,2015-12-07,2026-01-02,,False,,,
DECK,polygon,2533,2015-12-07,2026-01-02,,False,,,
NEM,polygon,2533,2015-12-07,2026-01-02,,False,,,
MMC,polygon,2533,2015-12-07,2026-01-02,,False,,,
ORLY,polygon,2533,2015-12-07,2026-01-02,,False,,,
DHI,polygon,2533,2015-12-07,2026-01-02,,False,,,
ZTS,polygon,2533,2015-12-07,2026-01-02,,False,,,
WSM,polygon,2533,2015-12-07,2026-01-02,,False,,,
CNC,polygon,2533,2015-12-07,2026-01-02,,False,,,
EW,polygon,2533,2015-12-07,2026-01-02,,False,,,
CSX,polygon,2533,2015-12-07,2026-01-02,,False,,,
TZA,polygon,2533,2015-12-07,2026-01-02,,False,,,
USB,polygon,2533,2015-12-07,2026-01-02,,False,,,
DOCU,polygon,1932,2018-04-27,2026-01-02,,False,,,
PH,polygon,2533,2015-12-07,2026-01-02,,False,,,
SE,polygon,2061,2017-10-20,2026-01-02,,False,,,
KMI,polygon,2533,2015-12-07,2026-01-02,,False,,,
MSI,polygon,2533,2015-12-07,2026-01-02,,False,,,
URI,polygon,2533,2015-12-07,2026-01-02,,True,False,False,0.0
FANG,polygon,2533,2015-12-07,2026-01-02,,False,,,
AON,polygon,2533,2015-12-07,2026-01-02,,False,,,
KDP,polygon,2533,2015-12-07,2026-01-02,,False,,,
XLB,polygon,2533,2015-12-07,2026-01-02,,False,,,
DUK,polygon,2533,2015-12-07,2026-01-02,,True,False,False,0.0
GD,polygon,2533,2015-12-07,2026-01-02,,False,,,
WMB,polygon,2533,2015-12-07,2026-01-02,,False,,,
PNC,polygon,2533,2015-12-07,2026-01-02,,False,,,
HSY,polygon,2533,2015-12-07,2026-01-02,,False,,,
EMR,polygon,2533,2015-12-07,2026-01-02,,False,,,
TFC,polygon,2533,2015-12-07,2026-01-02,,False,,,
MAR,polygon,2533,2015-12-07,2026-01-02,,False,,,
EL,polygon,2533,2015-12-07,2026-01-02,,False,,,
EOG,polygon,2533,2015-12-07,2026-01-02,,True,False,False,0.0
LNG,polygon,2533,2015-12-07,2026-01-02,,False,,,
GME,polygon,2533,2015-12-07,2026-01-02,,False,,,
DLR,polygon,2533,2015-12-07,2026-01-02,,False,,,
MPC,polygon,2533,2015-12-07,2026-01-02,,False,,,
CLSK,polygon,2294,2016-11-16,2026-01-02,,False,,,
NOC,polygon,2533,2015-12-07,2026-01-02,,False,,,
HLT,polygon,2533,2015-12-07,2026-01-02,,False,,,
ZS,polygon,1961,2018-03-16,2026-01-02,,False,,,
SO,polygon,2533,2015-12-07,2026-01-02,,False,,,
ACHR,polygon,1265,2020-12-18,2026-01-02,,False,,,
ENPH,polygon,2533,2015-12-07,2026-01-02,,False,,,
RIOT,polygon,2455,2016-03-31,2026-01-02,,False,,,
EQT,polygon,2533,2015-12-07,2026-01-02,,True,False,False,0.0
WELL,polygon,2533,2015-12-07,2026-01-02,,False,,,
HUBS,polygon,2533,2015-12-07,2026-01-02,,False,,,
XOP,polygon,2533,2015-12-07,2026-01-02,,False,,,
DXCM,polygon,2533,2015-12-07,2026-01-02,,False,,,
MCO,polygon,2533,2015-12-07,2026-01-02,,False,,,
WDC,polygon,2533,2015-12-07,2026-01-02,,False,,,
DG,polygon,2533,2015-12-07,2026-01-02,,False,,,
SNAP,polygon,2223,2017-03-02,2026-01-02,,False,,,
VLO,polygon,2533,2015-12-07,2026-01-02,,False,,,
DKNG,polygon,1620,2019-07-25,2026-01-02,,False,,,
STZ,polygon,2533,2015-12-07,2026-01-02,,False,,,
TRGP,polygon,2533,2015-12-07,2026-01-02,,False,,,
DLTR,polygon,2533,2015-12-07,2026-01-02,,False,,,
IQV,polygon,2533,2015-12-07,2026-01-02,,False,,,
LEN,polygon,2533,2015-12-07,2026-01-02,,False,,,
NET,polygon,1585,2019-09-13,2026-01-02,,False,,,
DVN,polygon,2533,2015-12-07,2026-01-02,,False,,,
WM,polygon,2533,2015-12-07,2026-01-02,,False,,,
SPXS,polygon,2533,2015-12-07,2026-01-02,,False,,,
MRNA,polygon,1777,2018-12-07,2026-01-02,,False,,,
TRV,polygon,2533,2015-12-07,2026-01-02,,False,,,
LYV,polygon,2533,2015-12-07,2026-01-02,,False,,,
TER,polygon,2533,2015-12-07,2026-01-02,,False,,,
CARR,polygon,1456,2020-03-19,2026-01-02,,False,,,
BIDU,polygon,2533,2015-12-07,2026-01-02,,False,,,
OKE,polygon,2533,2015-12-07,2026-01-02,,False,,,
VNQ,polygon,2533,2015-12-07,2026-01-02,,False,,,
TPR,polygon,2533,2015-12-07,2026-01-02,,False,,,
ET,polygon,2533,2015-12-07,2026-01-02,,False,,,
BK,polygon,2533,2015-12-07,2026-01-02,,False,,,
AIG,polygon,2533,2015-12-07,2026-01-02,,True,False,False,0.0
TWLO,polygon,2396,2016-06-23,2026-01-02,,False,,,
KR,polygon,2533,2015-12-07,2026-01-02,,False,,,
ALL,polygon,2533,2015-12-07,2026-01-02,,False,,,
PINS,polygon,1687,2019-04-18,2026-01-02,,False,,,
PSX,polygon,2533,2015-12-07,2026-01-02,,False,,,
SRE,polygon,2533,2015-12-07,2026-01-02,,False,,,
PCG,polygon,2533,2015-12-07,2026-01-02,,False,,,
KHC,polygon,2533,2015-12-07,2026-01-02,,False,,,
PWR,polygon,2533,2015-12-07,2026-01-02,,False,,,
ROKU,polygon,2077,2017-09-28,2026-01-02,,False,,,
KMB,polygon,2533,2015-12-07,2026-01-02,,False,,,
ILMN,polygon,2533,2015-12-07,2026-01-02,,False,,,
HPE,polygon,2533,2015-12-07,2026-01-02,,False,,,
ACWI,polygon,2533,2015-12-07,2026-01-02,,False,,,
BP,polygon,2533,2015-12-07,2026-01-02,,False,,,
NSC,polygon,2533,2015-12-07,2026-01-02,,False,,,
EA,polygon,2533,2015-12-07,2026-01-02,,False,,,
MSCI,polygon,2533,2015-12-07,2026-01-02,,False,,,
ZM,polygon,1687,2019-04-18,2026-01-02,,False,,,
EXPE,polygon,2533,2015-12-07,2026-01-02,,False,,,
NCLH,polygon,2533,2015-12-07,2026-01-02,,False,,,
DOW,polygon,1708,2019-03-20,2026-01-02,,False,,,
JCI,polygon,2533,2015-12-07,2026-01-02,,False,,,
IDXX,polygon,2533,2015-12-07,2026-01-02,,False,,,
EBAY,polygon,2533,2015-12-07,2026-01-02,,False,,,
ANF,polygon,2533,2015-12-07,2026-01-02,,False,,,
TSCO,polygon,2533,2015-12-07,2026-01-02,,False,,,
ROP,polygon,2533,2015-12-07,2026-01-02,,False,,,
TTWO,polygon,2533,2015-12-07,2026-01-02,,False,,,
RH,polygon,2533,2015-12-07,2026-01-02,,False,,,
BBY,polygon,2533,2015-12-07,2026-01-02,,False,,,
CCI,polygon,2533,2015-12-07,2026-01-02,,False,,,
VALE,polygon,2533,2015-12-07,2026-01-02,,False,,,
ETR,polygon,2533,2015-12-07,2026-01-02,,False,,,
FIS,polygon,2533,2015-12-07,2026-01-02,,False,,,
O,polygon,2533,2015-12-07,2026-01-02,,False,,,
LVS,polygon,2533,2015-12-07,2026-01-02,,False,,,
EFX,polygon,2533,2015-12-07,2026-01-02,,False,,,
ODFL,polygon,2533,2015-12-07,2026-01-02,,False,,,
AEP,polygon,2533,2015-12-07,2026-01-02,,False,,,
HWM,polygon,2305,2016-11-01,2026-01-02,,False,,,
XEL,polygon,2533,2015-12-07,2026-01-02,,False,,,
DKS,polygon,2533,2015-12-07,2026-01-02,,False,,,
BKR,polygon,2533,2015-12-07,2026-01-02,,False,,,
PCAR,polygon,2533,2015-12-07,2026-01-02,,False,,,
DPZ,polygon,2533,2015-12-07,2026-01-02,,False,,,
NUE,polygon,2533,2015-12-07,2026-01-02,,False,,,
CBRE,polygon,2533,2015-12-07,2026-01-02,,False,,,
GIS,polygon,2533,2015-12-07,2026-01-02,,False,,,
CAH,polygon,2533,2015-12-07,2026-01-02,,False,,,
ROK,polygon,2533,2015-12-07,2026-01-02,,False,,,
HAL,polygon,2533,2015-12-07,2026-01-02,,False,,,
NIO,polygon,1837,2018-09-12,2026-01-02,,False,,,
BURL,polygon,2533,2015-12-07,2026-01-02,,False,,,
PAYX,polygon,2533,2015-12-07,2026-01-02,,False,,,
AMP,polygon,2533,2015-12-07,2026-01-02,,False,,,
D,polygon,2533,2015-12-07,2026-01-02,,False,,,
ECL,polygon,2533,2015-12-07,2026-01-02,,False,,,
USO,polygon,2533,2015-12-07,2026-01-02,,False,,,
OKTA,polygon,2197,2017-04-07,2026-01-02,,False,,,
EXC,polygon,2533,2015-12-07,2026-01-02,,False,,,
APTV,polygon,2533,2015-12-07,2026-01-02,,False,,,
CTSH,polygon,2533,2015-12-07,2026-01-02,,False,,,
IP,polygon,2533,2015-12-07,2026-01-02,,False,,,
LCID,polygon,1329,2020-09-18,2026-01-02,,False,,,
DRI,polygon,2533,2015-12-07,2026-01-02,,False,,,
SYF,polygon,2533,2015-12-07,2026-01-02,,False,,,
U,polygon,1329,2020-09-18,2026-01-02,,False,,,
CELH,polygon,2533,2015-12-07,2026-01-02,,False,,,
LUV,polygon,2533,2015-12-07,2026-01-02,,False,,,
HBAN,polygon,2533,2015-12-07,2026-01-02,,False,,,
A,polygon,2533,2015-12-07,2026-01-02,,False,,,
ARES,polygon,2533,2015-12-07,2026-01-02,,False,,,
HPQ,polygon,2533,2015-12-07,2026-01-02,,False,,,
SPG,polygon,2533,2015-12-07,2026-01-02,,False,,,
VEEV,polygon,2533,2015-12-07,2026-01-02,,False,,,
SYY,polygon,2533,2015-12-07,2026-01-02,,False,,,
GPN,polygon,2533,2015-12-07,2026-01-02,,False,,,
BIIB,polygon,2533,2015-12-07,2026-01-02,,False,,,
CDW,polygon,2533,2015-12-07,2026-01-02,,False,,,
YUM,polygon,2533,2015-12-07,2026-01-02,,False,,,
MLM,polygon,2533,2015-12-07,2026-01-02,,False,,,
VMC,polygon,2533,2015-12-07,2026-01-02,,False,,,
TEL,polygon,2533,2015-12-07,2026-01-02,,False,,,
CCJ,polygon,2533,2015-12-07,2026-01-02,,False,,,
MOH,polygon,2533,2015-12-07,2026-01-02,,False,,,
CMI,polygon,2533,2015-12-07,2026-01-02,,False,,,
WYNN,polygon,2533,2015-12-07,2026-01-02,,False,,,
PSA,polygon,2533,2015-12-07,2026-01-02,,False,,,
MTB,polygon,2533,2015-12-07,2026-01-02,,False,,,
ITW,polygon,2533,2015-12-07,2026-01-02,,False,,,
STX,polygon,2533,2015-12-07,2026-01-02,,False,,,
STT,polygon,2533,2015-12-07,2026-01-02,,False,,,
AFL,polygon,2533,2015-12-07,2026-01-02,,False,,,
WST,polygon,2533,2015-12-07,2026-01-02,,False,,,
GLW,polygon,2533,2015-12-07,2026-01-02,,False,,,
LPLA,polygon,2533,2015-12-07,2026-01-02,,False,,,
AME,polygon,2533,2015-12-07,2026-01-02,,False,,,
W,polygon,2533,2015-12-07,2026-01-02,,False,,,
CSGP,polygon,2533,2015-12-07,2026-01-02,,False,,,
RMD,polygon,2533,2015-12-07,2026-01-02,,False,,,
SWKS,polygon,2533,2015-12-07,2026-01-02,,False,,,
XPO,polygon,2533,2015-12-07,2026-01-02,,False,,,
PEG,polygon,2533,2015-12-07,2026-01-02,,False,,,
ASTS,polygon,1550,2019-11-01,2026-01-02,,False,,,
PPG,polygon,2533,2015-12-07,2026-01-02,,False,,,
FAST,polygon,2533,2015-12-07,2026-01-02,,False,,,
NDAQ,polygon,2533,2015-12-07,2026-01-02,,False,,,
NTAP,polygon,2533,2015-12-07,2026-01-02,,False,,,
ETSY,polygon,2533,2015-12-07,2026-01-02,,False,,,
WAB,polygon,2533,2015-12-07,2026-01-02,,False,,,
XLRE,polygon,2533,2015-12-07,2026-01-02,,False,,,
FTV,polygon,2389,2016-07-05,2026-01-02,,False,,,
KEYS,polygon,2533,2015-12-07,2026-01-02,,False,,,
CHWY,polygon,1648,2019-06-14,2026-01-02,,False,,,
PHM,polygon,2533,2015-12-07,2026-01-02,,False,,,
BBWI,polygon,2533,2015-12-07,2026-01-02,,False,,,
RJF,polygon,2533,2015-12-07,2026-01-02,,False,,,
ED,polygon,2533,2015-12-07,2026-01-02,,False,,,
ALB,polygon,2533,2015-12-07,2026-01-02,,False,,,
NTRA,polygon,2533,2015-12-07,2026-01-02,,False,,,
RSG,polygon,2533,2015-12-07,2026-01-02,,False,,,
BE,polygon,1871,2018-07-25,2026-01-02,,False,,,
LYFT,polygon,1701,2019-03-29,2026-01-02,,False,,,
LYB,polygon,2533,2015-12-07,2026-01-02,,False,,,
CBOE,polygon,2533,2015-12-07,2026-01-02,,False,,,
IBKR,polygon,2533,2015-12-07,2026-01-02,,False,,,
CFG,polygon,2533,2015-12-07,2026-01-02,,False,,,
BILL,polygon,1522,2019-12-12,2026-01-02,,False,,,
GRMN,polygon,2533,2015-12-07,2026-01-02,,False,,,
PBR,polygon,2533,2015-12-07,2026-01-02,,False,,,
SBAC,polygon,2533,2015-12-07,2026-01-02,,False,,,
BLDR,polygon,2533,2015-12-07,2026-01-02,,False,,,
CTVA,polygon,1662,2019-05-24,2026-01-02,,False,,,
FITB,polygon,2533,2015-12-07,2026-01-02,,False,,,
TEVA,polygon,2533,2015-12-07,2026-01-02,,False,,,
RF,polygon,2533,2015-12-07,2026-01-02,,False,,,
ALNY,polygon,2533,2015-12-07,2026-01-02,,False,,,
FOUR,polygon,1402,2020-06-05,2026-01-02,,False,,,
WAT,polygon,2533,2015-12-07,2026-01-02,,False,,,
ACGL,polygon,2533,2015-12-07,2026-01-02,,False,,,
IR,polygon,2173,2017-05-12,2026-01-02,,False,,,
LDOS,polygon,2533,2015-12-07,2026-01-02,,False,,,
VRSK,polygon,2533,2015-12-07,2026-01-02,,False,,,
FIVE,polygon,2533,2015-12-07,2026-01-02,,False,,,
WEC,polygon,2533,2015-12-07,2026-01-02,,False,,,
IT,polygon,2533,2015-12-07,2026-01-02,,False,,,
QRVO,polygon,2533,2015-12-07,2026-01-02,,False,,,
THC,polygon,2533,2015-12-07,2026-01-02,,False,,,
OTIS,polygon,1456,2020-03-19,2026-01-02,,False,,,
HIG,polygon,2533,2015-12-07,2026-01-02,,True,False,False,0.0
IBB,polygon,2533,2015-12-07,2026-01-02,,False,,,
AKAM,polygon,2533,2015-12-07,2026-01-02,,False,,,
AGNC,polygon,2533,2015-12-07,2026-01-02,,False,,,
SAIA,polygon,2533,2015-12-07,2026-01-02,,False,,,
OMC,polygon,2533,2015-12-07,2026-01-02,,False,,,
AA,polygon,2533,2015-12-07,2026-01-02,,False,,,
EIX,polygon,2533,2015-12-07,2026-01-02,,False,,,
FOXA,polygon,1714,2019-03-12,2026-01-02,,False,,,
LW,polygon,2298,2016-11-10,2026-01-02,,False,,,
ALGN,polygon,2533,2015-12-07,2026-01-02,,False,,,
AEM,polygon,2533,2015-12-07,2026-01-02,,False,,,
